type	v	w
exon_variant_30larger	0.00121593316760891	1.72128609631828
exon_variant_5-30	0.00691653944541937	0.927479041262745
exon_variant_5smaller	0.0113403071163663	0.892123844972613
exon_variant_NoCADDscore	0.000350023032787793	1.03839652119583
frameshift_variant_30larger	0.000897822924811867	1.00746583802594
frameshift_variant_5-30	0.00721505685775421	0.936356091231613
frameshift_variant_5smaller	0.011737477373369	0.858395945302786
frameshift_variant_NoCADDscore	0.000438859593394693	1.05678880573947
missense_variant_30larger	0.00125945493423408	1.21282896593468
missense_variant_5-30	0.00711894475456789	0.910261639095913
missense_variant_5smaller	0.0117550200619203	0.896421270009299
missense_variant_NoCADDscore	0.000387105396395239	1.04380689630803
other_variant_30larger	0.00111072252475152	1.18698793920176
other_variant_5-30	0.00708073867221714	0.919174674833466
other_variant_5smaller	0.0118644538860064	0.892869003506092
other_variant_NoCADDscore	0.000393919236222629	1.0436764893596
splice_acceptor_variant_30larger	0.00187306105652649	2.71424479409543
splice_acceptor_variant_5-30	0.00699735221384933	0.961386720892408
splice_acceptor_variant_5smaller	0.0112913269048279	0.937138227119632
splice_acceptor_variant_NoCADDscore	0.000417971787323748	1.27882967214683
splice_donor_variant_30larger	0.00279249900854127	11.2502895625844
splice_donor_variant_5-30	0.00714422742778209	0.85394723883103
splice_donor_variant_5smaller	0.0117481915786099	0.850000645075375
splice_donor_variant_NoCADDscore	0.000387656492337646	0.965737709658201
stop_gained_30larger	0.00165414462112581	2.93383606762373
stop_gained_5-30	0.00671635280460065	0.925167778881623
stop_gained_5smaller	0.0119534683513315	0.922695659692858
stop_gained_NoCADDscore	0.000391363288005097	0.978459893898521
UTR_variant_30larger	0.00118281626382347	1.31003267718321
UTR_variant_5-30	0.00716363200786712	0.901983345556922
UTR_variant_5smaller	0.0117952919796608	0.888571851492693
UTR_variant_NoCADDscore	0.000424449958656027	1.03181362305862
