type	v	w
exon_variant_20larger	0.00217745512066304	1.2147110446553
exon_variant_5-20	0.0085652114132986	0.916165951341285
exon_variant_5smaller	0.0113403071163663	0.892123844972613
exon_variant_NoCADDscore	0.000350023032787793	1.03839652119583
frameshift_variant_20larger	0.0023120058947359	1.15419453104608
frameshift_variant_5-20	0.00910025608971446	0.915779974717338
frameshift_variant_5smaller	0.011737477373369	0.858395945302786
frameshift_variant_NoCADDscore	0.000438859593394693	1.05678880573947
missense_variant_20larger	0.00240454721903244	1.08718758740085
missense_variant_5-20	0.00880141198791906	0.901556799340972
missense_variant_5smaller	0.0117550200619203	0.896421270009299
missense_variant_NoCADDscore	0.000387105396395239	1.04380689630803
other_variant_20larger	0.00242635981321602	1.0957298755355
other_variant_5-20	0.00873357422413879	0.910581569578229
other_variant_5smaller	0.0118644538860064	0.892869003506092
other_variant_NoCADDscore	0.000393919236222629	1.0436764893596
splice_acceptor_variant_20larger	0.00234288933519592	1.37610497523552
splice_acceptor_variant_5-20	0.00880983445988547	0.917339588859662
splice_acceptor_variant_5smaller	0.0112913269048279	0.937138227119632
splice_acceptor_variant_NoCADDscore	0.000417971787323748	1.27882967214683
splice_donor_variant_20larger	0.00248253519436577	1.06307855075027
splice_donor_variant_5-20	0.00902001469049094	0.856575560415128
splice_donor_variant_5smaller	0.0117481915786099	0.850000645075375
splice_donor_variant_NoCADDscore	0.000387656492337646	0.965737709658201
stop_gained_20larger	0.00227945258138345	1.16115116598714
stop_gained_5-20	0.00851161878679935	0.911398162038383
stop_gained_5smaller	0.0119534683513315	0.922695659692858
stop_gained_NoCADDscore	0.000391363288005097	0.978459893898521
UTR_variant_20larger	0.00258929659895853	1.06496127770452
UTR_variant_5-20	0.00881163298157138	0.891667366749369
UTR_variant_5smaller	0.0117952919796608	0.888571851492693
UTR_variant_NoCADDscore	0.000424449958656027	1.03181362305862
others	0.00255870781762647	0.805943090066077
